Date,High price,Low price,Closing price,Average price,Total volume,Turnover
2013-09-26,1277.41,1272.27,1275.23,,1,12995633800
2013-09-25,1276.65,1263.03,1265.69,,1,15127537241
2013-09-24,1282.73,1274.78,1282.73,,1,10740373877
2013-09-23,1286.69,1273.34,1274.77,,1,8118139306
2013-09-20,1287.01,1283.19,1285.78,,1,8964083130
2013-09-19,1291.88,1282.92,1286.49,,1,10745379064
2013-09-18,1277.12,1271.38,1276.74,,1,8689508054
2013-09-17,1277.53,1273.62,1274.22,,1,8006567732
2013-09-16,1279.99,1273.77,1278.41,,1,9502293792
2013-09-13,1266.89,1262.21,1265.97,,1,7436003674
2013-09-12,1271.38,1265.18,1268.30,,1,9962979359
2013-09-11,1274.16,1265.86,1270.66,,1,9182343597
2013-09-10,1268.25,1255.68,1268.22,,1,10210123658
2013-09-09,1251.05,1242.49,1249.11,,1,7144312718
2013-09-06,1250.13,1238.45,1249.05,,1,11002963597
2013-09-05,1250.11,1241.59,1243.90,,1,11092868098
2013-09-04,1244.59,1232.71,1242.52,,1,7398796155
2013-09-03,1240.99,1226.22,1238.64,,1,11694317287
2013-09-02,1232.38,1220.98,1230.88,,1,6675217731
2013-08-30,1226.23,1214.02,1214.35,,1,8467833462
2013-08-29,1225.53,1218.42,1224.31,,1,7361654625
2013-08-28,1226.02,1206.12,1218.15,,1,9100430420
2013-08-27,1241.41,1222.44,1224.85,,1,9623754637
2013-08-26,1246.95,1234.91,1245.99,,1,5753277960
2013-08-23,1243.82,1234.84,1243.82,,1,6282943798
2013-08-22,1241.44,1226.56,1237.14,,1,7382767599
2013-08-21,1250.03,1226.05,1226.05,,1,8303832254
2013-08-20,1248.24,1236.69,1247.15,,1,6923491808
2013-08-19,1257.45,1250.17,1250.84,,1,8081381501
2013-08-16,1255.21,1240.83,1255.02,,1,6757457941
2013-08-15,1258.72,1238.41,1245.35,,1,7737317011
2013-08-14,1265.88,1260.20,1262.48,,1,6500388517
2013-08-13,1263.57,1254.08,1260.44,,1,8911384143
2013-08-12,1257.21,1250.02,1253.69,,1,7115864237
2013-08-09,1258.07,1249.94,1253.79,,1,6758354977
2013-08-08,1254.36,1245.08,1249.22,,1,6706200309
2013-08-07,1244.30,1236.09,1240.41,,1,6661345714
2013-08-06,1254.00,1239.95,1242.12,,1,6785457668
2013-08-05,1253.65,1248.31,1251.77,,1,4593385619
2013-08-02,1252.82,1246.06,1250.54,,1,5344624414
2013-08-01,1248.38,1240.10,1248.38,,1,5830411487
2013-07-31,1242.05,1233.30,1234.07,,1,5741606230
2013-07-30,1238.78,1230.50,1236.86,,1,5525214970
2013-07-29,1236.29,1224.89,1226.98,,1,5122905460
2013-07-26,1237.26,1224.66,1227.86,,1,5641767977
2013-07-25,1232.95,1220.73,1232.95,,1,7297372238
2013-07-24,1232.61,1220.08,1230.34,,1,7784160321
2013-07-23,1222.46,1215.05,1216.68,,1,6893866691
2013-07-22,1225.17,1210.24,1213.38,,1,7193843900
